"","month","V1","V2"
"1",1,7395670.70456989,4318682.08723118
"2",2,5534986.00270833,3283383.26583631
"3",3,2904392.60619624,1811057.93333078
"4",4,43868.8019694444,192982.501130556
"5",5,-436268.77188172,-165543.888790323
"6",6,-208569.577222222,-95116.278625
"7",7,-59727.2311827957,-28447.0565860215
"8",8,-76578.1952956989,-35357.9857930108
"9",9,-62510.6045333333,36520.003125
"10",10,739134.273306452,543289.205607527
"11",11,4411758.35902778,2635527.42615139
"12",12,6877256.24327957,4006975.67849462
